Item No.,Description ,UOM , Qty ,Rate ,Amount 
,Roughening and hacking the concrete surfaces wherever required after removal of centring or shuttering. All tie rod holes shall be filled with approved grouting material.,, -   ,, -   
,"Forming key and construction joints, providing cement slurry work and cleaning at any stage of work, sand papering of existing reinforcement bars of column and dowels etc. as directed before taking up fresh work.",, -   ,, -   
,Coarse graded sand/ manufactured sand shall be used for all concrete works.,, -   ,, -   
,Machine crushed coarse graded aggregate shall be hard broken blue granite of sizes specified.,, -   ,, -   
,Cement for all concrete works shall only be High strength ordinary Portland cement Grade-53. ,, -   ,, -   
,Designing the concrete mix and batching as per specifications and approved concrete design mix with necessary admixtures for various workability and surface finish requirements.,, -   ,, -   
,"Adding of admixture to meet the required standards and specifications for various workability, consistency, self compaction, retardation, acceleration, surface finish, colour, uniformity, strength, shrinkage control, durability, fire rating, cohesiveness in the concrete as appropriate. ",, -   ,, -   
,"Limiting the temperature of concrete and heat of hydration by adopting various temperature control measures like usage ice water, soaking of aggregates in water, storage in shaded areas, transportation and pumping with protective covers etc to meet the requirements. The rate shall include use of plasticizers and retarders to limit the water/cement ratio to 0.5 and the temperature to 35 degree C at the time of placing. Complete care shall be taken to achieve dense and fully watertight concrete. ",, -   ,, -   
,"Providing sunk floors, pockets, cut-outs, holes etc.",, -   ,, -   
,Taking test cubes for all concrete items and  testing them as specified in IS 456 at the site laboratory to be set up with proper equipment etc. and other regular test shall be carried out as directed either at site Laboratory or at any approved test laboratory.,, -   ,, -   
,"Cost of in situ test on concrete like slump test, L-Box test, U box test, core test, ultrasonic test, rebound hammer test etc to prove the soundness of the element is included in rates and shall be carried out even though cube test results are passing the strength criteria as required by the consultants.",, -   ,, -   
,"Cost to include appropriate dewatering wherever necessary, cost of all materials, labours, all lead and lifts, tools, plant and machinery, hire and fuel charges and all other incidental charges etc., all as per specifications, drawings and as directed.",, -   ,, -   
,For all structural concrete elements post construction dimension and levels shall be documented and submitted.,, -   ,, -   
,"Concrete pour plan with construction joints, pour joints, shrinkage strips shall be submitted for approval. Shuttering below the shrinkage strip / pour joints at every level shall be retained in place without disturbing for a time as specified by the structural engineer. Any rectification of  honeycombs not affecting structural stability, slurry leakage shall be rectified as per the methodology duly approved by client / the Engineer without any extra cost.",, -   ,, -   
,"All the material test certificates from the manufacturer and the external approved reputed testing laboratory, standard deviation and post concreting check results shall be submitted to the consultant.",, -   ,, -   
,"(Design mix shall be as approved by the Structural Consultant / Employers representative. Cementacious material GGBS can be used in the design mix with a proportion of 65:35 for grade concrete upto M35. GGBS 25% for grade concrete M40 and above. Raft concrete can be 50% of GGBS. Polycarboxylic Ether based admixures to be used for the Concrete of higher grade than M40 and Micro silica shall be used for the concrete of grade higher than M45)
For Terrace Slab / Beam - No GGBS/Fly ash is allowed",, -   ,, -   
,Manufactured sand can be considered .,, -   ,, -   
,Core test shall be conducted on all elements for acceptance of strength of concrete achieved at site irrespective of the cube strength achieved as confirmatory test for the stability of the building. The total no. of core test shall generally be restricted to 50 Nos of the total concrete volume.,, -   ,, -   
,"Making all sunk floors, pockets, cutouts, holes, sleeves, embedding electrical conduits, junction boxes, fan hooks, cutout boxes and other inserts, sleeves hold fasts, pipes  etc as specified in the drawings.",, -   ,, -   
,"All the lifting equipments including tower crane, boom placer, Pumps, pumping lines, material hoist, lifts shall have independent supporting systems and shall not transfer any stress on building components.",, -   ,, -   
,Minimum cementitious content for concrete shall be as per cement constants enclosed in the Technical specification.,, -   ,, -   
,All Reinforced cement concrete works shall be done in accordance with technical specification .,, -   ,, -   
,"Providing & laying plant mixed design mix reinforced cement concrete conforming to grades as specified in (IS 456 - 2000) and as per specifications mentioned below at all levels using 20mm & down size aggregates, fine aggregates, OPC, necessary admixtures approved by Consultants (Conplast SP 430SRV from Fosroc or equivalent), including designing the mix, trial cubes, accelerated curing, weigh batching, mechanical mixing, transporting, pumping and placing at all levels, excluding the cost of steel reinforcement, centring, shuttering but inclusive of cost towards pumping using line pump or boom placer, scaffolding, compacting with vibrators, construction joint treatments, curing and hacking the exposed surfaces wherever required to receive plaster or floated steel trowelled surface whenever specified. The rate shall include cost of  arrangements to provide recesses to slabs, columns, walls and placing and securing properly within the formwork sleeves and / or opening in slabs, construction joints, laying to required shape, size and slope all as per drawings. 
The mix proportion of cement with that of GGBS shall be  confirming to latest IS standards.",, -   ,, -   
,"The rate shall include providing and fixing the required PVC sleeves up to 200 mm dia pockets and opening etc., cleaning the site debris stacking the material, hoisting equipment's, shutter accessories and fixing pipe / plates / inserts in perfect size level , plumb etc. as directed by Engineer In Charge and as per technical specifications in the tender. Repairing / replacing the formwork, filling all the holes created due to shuttering / sleeves provided for passage of plumbing, FF pipes / Electrical cables with approved non shrink filler material etc. complete to the satisfaction of Client / the Engineer. Hacking of RCC faces as specified and directed by Engineer In Charge to be included in quoted rate of RCC.",, -   ,, -   
,"Cost to include appropriate dewatering wherever necessary, cost of all materials, labours, all lead and lifts, tools, plant and machinery, hire and fuel charges and all other incidental charges etc., all as per specifications, drawings and as directed.",, -   ,, -   
3.1,REINFORCED CEMENT CONCRETE WORKS : ,, -   ,, -   
3.1.1,M40 Grade for all structural elements unless specified otherwise,, -   ,, -   
a,"Raft of Columns, Shear Walls & Core walls, for Towers,  as per drawings if any etc",Cum," 3,019 ",, -   
3.1.2,M30 Grade for all structural elements unless specified otherwise,, -   ,, -   
a,"Isolated Footings & Combined Footings of Columns, Core walls for Podium & Raft slab for Retaining walls etc and if any as per drawings/Site conditions.",Cum," 1,470 ",, -   
b,Grade slab ,Cum," 1,700 ",, -   
c,Retaining Wall,Cum," 1,751 ",, -   
d,Ramp Beam,Cum, 146 ,, -   
e,Ramp slab with Grooves,Cum, 394 ,, -   
f,Pedestals,Cum, 283 ,, -   
g,Trenches / Ramp drain ,Cum, 22 ,, -   
h,Plinth Beam,Cum, 75 ,, -   
i,Parapet wall at all Levels,Cum, 75 ,, -   
j,RC upstand at all levels for Ramps of specified thickness,Cum, 845 ,, -   
k,RCC Parapet / upstand at at Terrace of specified thickness,Cum, 585 ,, -   
l,RCC Walls at all Levels,Cum, 75 ,, -   
3.1.3,"Raw water, Treated Water Collection Sumps & Fire Fighting Collection sumps",, -   ,, -   
a,Bottom slab,Cum, 386 ,, -   
b,Walls,Cum, 468 ,, -   
c,Top slab,Cum, 266 ,, -   
3.1.4,Rain Water Collection Sumps,, -   ,, -   
a,Bottom slab,Cum, 13 ,, -   
b,Walls,Cum, 23 ,, -   
c,Top slab,Cum, 5 ,, -   
3.1.5,Basement water collection Sumps,, -   ,, -   
a,Bottom slab,Cum, 13 ,, -   
b,Walls,Cum, 26 ,, -   
c,Top slab,Cum, 7 ,, -   
3.1.6,Domestic and Fire Fighting Overhead tanks,, -   ,, -   
a,Bottom slab,Cum, 54 ,, -   
b,Walls,Cum, 75 ,, -   
c,Top slab,Cum, 30 ,, -   
3.1.7,Sewage Treatment Plant ,, -   ,, -   
a,Bottom slab,Cum, 266 ,, -   
b,Walls,Cum, 414 ,, -   
c,Plat Form slab,Cum, 85 ,, -   
d,Top slab,Cum, 130 ,, -   
3.1.8,Lintels at all Levels,Cum, 95 ,, -   
3.1.9,Chejjas / Lofts at all levels,Cum, 55 ,, -   
3.1.10,RCC Brackets / Fins / Ledges at all levels,Cum, 75 ,, -   
3.1.11,"DG, Chillers, Pump & Transformer Foundations and Miscellaneous works",Cum, 140 ,, -   
3.1.12,Sub-Soil Well along with the retaining wall including bottom and top slabs,, -   ,, -   
a,Bottom Slab,Cum, 25 ,, -   
b,Walls,Cum, 25 ,, -   
c,Top Slab,Cum, 25 ,, -   
3.1.13,Columns at all levels,, -   ,, -   
a,Basement-1 ( for Basement beyond Tower ),Cum, 295 ,, -   
b,Ground Floor ( for Basement beyond Tower ),Cum, 300 ,, -   
c,1st floor ( for Basement beyond Tower ),Cum, 331 ,, -   
d,2nd floor,Cum, 135 ,, -   
e,3rd floor,Cum, 72 ,, -   
f,4th floor,Cum, 35 ,, -   
g,Service Floor,Cum, 14 ,, -   
h,Terrace Floor,Cum, 3 ,, -   
3.1.14,Shear & Core wall at all levels,, -   ,, -   
,M30 Grade,, -   ,, -   
a,Basement-1 ( for Basement beyond Tower ),Cum, 95 ,, -   
b,Ground Floor ( for Basement beyond Tower ),Cum, 86 ,, -   
c,1st floor ( for Basement beyond Tower ),Cum, 105 ,, -   
d,2nd floor,Cum, 128 ,, -   
e,3rd floor,Cum, 122 ,, -   
f,4th floor,Cum, 89 ,, -   
g,Service Floor,Cum, 56 ,, -   
h,Terrace Floor,Cum, 28 ,, -   
,M50 Grade,, -   ,, -   
a,Basement,Cum," 1,184 ",, -   
b,Ground Floor ,Cum," 1,055 ",, -   
c,First Floor,Cum," 1,080 ",, -   
3.1.15,Staircase at all levels,, -   ,, -   
,M30 grade,, -   ,, -   
a,Basement ,Cum, 77 ,, -   
b,Ground floor,Cum, 80 ,, -   
c,1st floor,Cum, 88 ,, -   
d,2nd floor,Cum, 40 ,, -   
e,3rd floor,Cum, 40 ,, -   
f,4th floor,Cum, 40 ,, -   
g,5th floor,Cum, 35 ,, -   
h,6th floor,Cum, 35 ,, -   
i,7th floor,Cum, 35 ,, -   
j,8th floor,Cum, 30 ,, -   
k,9th floor,Cum, 30 ,, -   
l,10th floor,Cum, 30 ,, -   
m,11th floor,Cum, 30 ,, -   
n,12th floor,Cum, 30 ,, -   
o,13th floor,Cum, 30 ,, -   
p,14th floor,Cum, 30 ,, -   
q,15th floor,Cum, 30 ,, -   
r,16th floor,Cum, 30 ,, -   
s,17th floor,Cum, 30 ,, -   
t,18th floor,Cum, 30 ,, -   
u,19th floor,Cum, 30 ,, -   
v,20th floor,Cum, 30 ,, -   
w,21st floor,Cum, 30 ,, -   
 x ,22nd floor,Cum, 30 ,, -   
 y ,23rd floor,Cum, 30 ,, -   
 z ,24th floor,Cum, 30 ,, -   
 aa ,25th floor,Cum, 30 ,, -   
 ab ,26th floor,Cum, 30 ,, -   
 ac ,27th floor,Cum, 56 ,, -   
 ad ,28th floor,Cum, 82 ,, -   
 ae ,Terrace Floor,Cum, 20 ,, -   
 af ,Above Terrace Floor,Cum, 30 ,, -   
3.1.16,Column Drop,, -   ,, -   
,M30 Grade,, -   ,, -   
