Sr.No,SAP Item ,Short Desc,QUANTITY,QUANTITY,UNIT,LONG TEXT,RATE,Amount
30.33,"13000019
/995454","13000019 /995454 CRE-
Drop Panel Conc M30",638.012,,CUM,RMC-M30 flat plate/slab-6th floor,"7,109.00",4535627.308
30.34,"13000019
/995454","13000320 /995411 RMC-
Ramp",638.012,,CUM,RMC M30 Ramp Beam,"7,109.00",4535627.308
30.35,"13000320
/995411","13000320 /995411 RMC-
Ramp",120,,CUM,RMC M30 Ramp Slab,"7,030.00",843600
30.36,"13000320
/995411","13000708 /995411 RCC-
pedestal M30",344,,CUM,RMC M30 Pedestals,"7,030.00",2418320
30.37,"13000708
/995411","13000327 /995411 RMC-
Drain",30,,CUM,RMC M30 Trenches/Ramp drain,"7,066.00",211980
30.38,"13000327
/995411","13000323 /995411 RMC-
Lintels",353.09,,CUM,RMC M30 Lintels,"7,066.00",2494933.94
30.39,"13000323
/995411","13000339 /995411 RMC-
Plinth Beams",95,,CUM,RMC M30 Plinth beam,"7,109.00",675355
30.4,"13000339
/995411","13000322 /995411 RMC-
Staircase at all fl",40.435,,CUM,,"7,030.00",284258.05
40,"13000322
/995411","RMC-Slabs, M30 Grade",5,,CUM,RMC M30 Regular Slab stilt floor,"7,109.00",35545
40.1,,"13000389 /995411 RMC-
Slabs, M30 Grade",1,,AU,RMC M30 Regular Slab stilt floor,"12,77,24,450.12",127724450.1
40.2,"13000389
/995411","13000396 /995411 RMC-
Beams, M30 Grade","1,031.87",,CUM,RMC M30 Regular beam 2nd floor,"7,109.00",7335578.048
40.3,"13000396
/995411","13000396 /995411 RMC-
Beams, M30 Grade",315.083,,CUM,RMC M30 Regular beam 3rd floor,"7,109.00",2239925.047
40.4,"13000396
/995411","13000396 /995411 RMC-
Beams, M30 Grade",224.48,,CUM,RMC M30 Regular beam 4th floor,"7,109.00",1595828.32
40.5,"13000396
/995411","13000396 /995411 RMC-
Beams, M30 Grade",158.815,,CUM,RMC M30 Regular beam 5th floor,"7,109.00",1129015.835
40.6,"13000396
/995411","13000396 /995411 RMC-
Beams, M30 Grade",158.815,,CUM,RMC M30 Regular beam 6th floor,"7,109.00",1129015.835
40.7,"13000396
/995411","13000392 /995411 RMC-
Beams, M50 Grade",165.741,,CUM,RMC M50 Transfer Beam 1st floor,"7,109.00",1178252.769
40.8,"13000392
/995411","13000392 /995411 RMC-
Beams, M50 Grade",215.755,,CUM,RMC M50 Transfer Beam 2nd floor,"8,532.00",1840821.66
40.9,"13000392
/995411","13000392 /995411 RMC-
Beams, M50 Grade",540.787,,CUM,RMC M50 Transfer Beam 6th floor,"8,532.00",4613994.684
40.1,"13000392
/995411","13000408 /995411 SDC-
Columns, M50 Grade",147.445,,CUM,SDC M50 Column/shear wall-Fdn,"8,532.00",1258000.74
40.11,"13000408
/995411","13000408 /995411 SDC-
Columns, M50 Grade",794.564,,CUM,SDC M50 Column/shear wall-Stilt,"8,847.00",7029507.708
40.12,"13000408
/995411","13000389 /995411 RMC-
Slabs, M30 Grade","1,173.00",,CUM,RMC M30 Regular Slab 1st floor,"8,847.00",10377531
40.13,"13000389
/995411","13000410 /995411 SDC-
Columns, M40 Grade","1,841.86",,CUM,SDC M40 Column/shear wall-1st floor,"7,109.00",13093804.07
40.14,"13000410
/995411","13000410 /995411 SDC-
Columns, M40 Grade",70.359,,CUM,SDC M40 Column/shear wall-2nd floor,"8,453.00",594744.627
40.15,"13000410
/995411","13000410 /995411 SDC-
Columns, M40 Grade",133.637,,CUM,SDC M40 Column/shear wall-3rd floor,"8,453.00",1129633.561
40.16,"13000410
/995411","13000410 /995411 SDC-
Columns, M40 Grade",153.849,,CUM,SDC M40 Column/shear wall-4th floor,"8,453.00",1300485.597
40.17,"13000410
/995411","13000410 /995411 SDC-
Columns, M40 Grade",153.849,,CUM,SDC M40 Column/shear wall-5th floor,"8,453.00",1300485.597
40.18,"13000410
/995411","13000422 /995411 SDC-
Core walls, M50 Gra",153.849,,CUM,SDC M50 Corewall/stair wall-Fdn,"8,453.00",1300485.597
40.19,"13000422
/995411","13000422 /995411 SDC-
Core walls, M50 Gra",499.135,,CUM,SDC M50 Corewall/stair wall-Stilt,"8,847.00",4415847.345
40.2,"13000422
/995411","13000424 /995411 SDC-
Core walls, M40 Gra",371.537,,CUM,SDC M40 Corewall/stair wall-1st floor,"8,847.00",3286987.839
40.21,"13000424
/995411","13000424 /995411 SDC-
Core walls, M40 Gra",0.001,,CUM,SDC M40 Corewall/stair wall-2nd floor,"8,453.00",8.453
40.22,"13000424
/995411","13000424 /995411 SDC-
Core walls, M40 Gra",12.514,,CUM,SDC M40 Corewall/stair wall-3rd floor,"8,453.00",105780.842
40.23,"13000424
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",0.001,,CUM,RMC M30 Regular Slab 2nd floor,"8,453.00",8.453
40.24,"13000389
/995411","13000424 /995411 SDC-
Core walls, M40 Gra",301.133,,CUM,SDC M40 Corewall/stair wall-4th floor,"7,109.00",2140754.497
40.25,"13000424
/995411","13000424 /995411 SDC-
Core walls, M40 Gra",7.777,,CUM,SDC M40 Corewall/stair wall-5th floor,"8,453.00",65738.981
40.26,"13000424
/995411","13000417 /995411 SDC-
Shear walls, M40 Gr",0.001,,CUM,SDC M40 RC wall-Fdn,"8,453.00",8.453
40.27,"13000417
/995411","13000417 /995411 SDC-
Shear walls, M40 Gr",0.001,,CUM,SDC M40 RC wall-Stilt,"8,474.00",8.474
40.28,"13000417
/995411","13000417 /995411 SDC-
Shear walls, M40 Gr",0.001,,CUM,SDC M40 RC wall-1st floor,"8,474.00",8.474
40.29,"13000417
/995411","13000417 /995411 SDC-
Shear walls, M40 Gr",0.001,,CUM,SDC M40 RC wall-2nd floor,"8,474.00",8.474
40.3,"13000417
/995411","13000417 /995411 SDC-
Shear walls, M40 Gr",0.001,,CUM,SDC M40 RC wall-3rd floor,"8,474.00",8.474
40.31,"13000417
/995411","13000417 /995411 SDC-
Shear walls, M40 Gr",0.001,,CUM,SDC M40 RC wall-4th floor,"8,474.00",8.474
40.32,"13000417
/995411","13000417 /995411 SDC-
Shear walls, M40 Gr",0.001,,CUM,SDC M40 RCwall-5th floor,"8,474.00",8.474
40.33,"13000417
/995411","13000445 /995411 SDC-
Non Structural wall",0.001,,CUM,SDC M40 Non str RC wall-1st floor,"8,474.00",8.474
40.34,"13000445
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",0.001,,CUM,RMC M30 Regular Slab 3rd floor,"8,474.00",8.474
40.35,"13000389
/995411","13000445 /995411 SDC-
Non Structural wall",301.133,,CUM,SDC M40 Non str RC wall-2nd floor,"7,109.00",2140754.497
40.36,"13000445
/995411","13000445 /995411 SDC-
Non Structural wall",0.001,,CUM,SDC M40 Non str RC wall-3rd floor,"8,474.00",8.474
40.37,"13000445
/995411","13000445 /995411 SDC-
Non Structural wall",0.001,,CUM,SDC M40 Non str RC wall-4th floor,"8,474.00",8.474
40.38,"13000445
/995411","13000445 /995411 SDC-
Non Structural wall",0.001,,CUM,SDC M40 Non str RC wall-5th floor,"8,474.00",8.474
40.39,"13000445
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",0.001,,CUM,RMC M30 Regular Slab 4th floor,"8,474.00",8.474
40.4,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",301.133,,CUM,RMC M30 Regular Slab 5th floor,"7,109.00",2140754.497
40.41,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",301.133,,CUM,RMC M30 Regular Slab 6th floor,"7,109.00",2140754.497
40.42,"13000389
/995411","13000396 /995411 RMC-
Beams, M30 Grade",306.133,,CUM,RMC M30 Regular beam stilt floor,"7,109.00",2176299.497
40.43,"13000396
/995411","13000396 /995411 RMC-
Beams, M30 Grade",603.647,,CUM,RMC M30 Regular beam 1st floor,"7,109.00",4291326.523
40.44,"13000396
/995411","13000314 /995411 RCC -
RMC - all grades",472.125,,CUM,,"7,109.00",3356336.625
40.45,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",256.98,,CUM,,"7,309.00",1878266.82
40.46,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",116.03,,CUM,,"7,309.00",848063.27
40.47,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",99.21,,CUM,,"7,309.00",725125.89
40.48,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",86.49,,CUM,,"7,309.00",632155.41
40.49,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",63.84,,CUM,,"8,532.00",544682.88
40.5,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",63.84,,CUM,,"7,682.00",490418.88
40.51,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",63.84,,CUM,,"7,682.00",490418.88
40.52,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",80.28,,CUM,,"7,682.00",616710.96
40.53,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",6.36,,CUM,,"8,532.00",54263.52
40.54,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",6.36,,CUM,,"7,682.00",48857.52
40.55,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",6.36,,CUM,,"7,682.00",48857.52
40.56,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",6.15,,CUM,,"7,682.00",47244.3
40.57,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",99.79,,CUM,,"7,682.00",766586.78
40.58,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",124.85,,CUM,,"7,682.00",959097.7
40.59,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",153.85,,CUM,,"8,847.00",1361110.95
40.6,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",65.81,,CUM,,"8,053.00",529967.93
40.61,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",109.32,,CUM,,"8,053.00",880353.96
40.62,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",103.45,,CUM,,"8,053.00",833082.85
40.63,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",116.17,,CUM,,"8,053.00",935517.01
40.64,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",202.67,,CUM,,"8,053.00",1632101.51
40.65,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",202.67,,CUM,,"8,053.00",1632101.51
40.66,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",214.01,,CUM,,"8,053.00",1723422.53
40.67,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",485.3,,CUM,,"8,847.00",4293449.1
40.68,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",796.47,,CUM,,"8,053.00",6413972.91
40.69,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",337.98,,CUM,,"8,053.00",2721752.94
40.7,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",340.67,,CUM,,"8,053.00",2743415.51
40.71,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",340.67,,CUM,,"8,053.00",2743415.51
40.72,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",340.67,,CUM,,"8,053.00",2743415.51
40.73,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",340.67,,CUM,,"8,053.00",2743415.51
40.74,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",19.14,,CUM,,"8,053.00",154134.42
40.75,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",24.23,,CUM,,"8,053.00",195124.19
40.76,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",24.23,,CUM,,"8,053.00",195124.19
40.77,"13000314
/995411","13000314 /995411 RCC -
RMC - all grades",24.23,,CUM,,"8,053.00",195124.19
50,"13000314
/995411","Conventional formwork-
Raft Foundation",24.23,,CUM,Formwork Foundations,"8,053.00",195124.19
50.1,,"13000475 /995411
Conventional formwork-R",1,,AU,Formwork Foundations,"6,44,88,449.12",64488449.12
50.2,"13000475
/995411","13000480 /995411
Conventional formwork-P","7,461.81",,SQM,Formwork RC Upstand,664,4954643.832
50.3,"13000480
/995411","13000489 /995411 Conv.
formwork-Domestic","2,572.00",,SQM,Formwork UG sump bottom slab,757,1947004
50.4,"13000489
/995411","13000489 /995411 Conv.
formwork-Domestic",65,,SQM,Formwork UG sump RC Wall,696,45240
50.5,"13000489
/995411","13000489 /995411 Conv.
formwork-Domestic","1,905.00",,SQM,Formwork UG sump Top slab,703,1339215
50.6,"13000489
/995411","13000489 /995411 Conv.
formwork-Domestic",605,,SQM,Formwork UG sump Stair,710,429550
50.7,"13000489
/995411","13000488 /995411
Conventional formwork-W",40,,SQM,Formwork Rainwater sump bottom slab,717,28680
50.8,"13000488
/995411","13000488 /995411
Conventional formwork-W",55,,SQM,Formwork Rainwater sump RC Wall,696,38280
50.9,"13000488
/995411","13000488 /995411
Conventional formwork-W","1,570.00",,SQM,Formwork Rain water sump Top slab,703,1103710
50.1,"13000488
/995411","13000491 /995411
Conventional formwork-S",345,,SQM,Formwork STP bottom slab,710,244950
50.11,"13000491
/995411","13000491 /995411
Conventional formwork-S",60.526,,SQM,Formwork STP RC Wall,696,42126.096
50.12,"13000491
/995411","13000477 /995411
Conventional formwork-R","3,527.74",,SQM,Formwork Retaining wall,703,2480004.032
50.13,"13000477
/995411","13000491 /995411
Conventional formwork-S","6,428.38",,SQM,Formwork STP Top slab,680,4371298.4
50.14,"13000491
/995411","13000108 /995454 CRE-
Subsoil Drain Form","1,212.54",,SQM,Formwork Subsoil well bottom slab,710,860905.53
50.15,"13000108
/995454","13000108 /995454 CRE-
Subsoil Drain Form",10,,SQM,Formwork Subsoil well walls,696,6960
50.16,"13000108
/995454","13000108 /995454 CRE-
Subsoil Drain Form",180,,SQM,Formwork Subsoil well top slab,703,126540
50.17,"13000108
/995454","13000502 /995411
Conventional formwork-C",20,,SQM,Formwork Column/shear wall-Fdn,710,14200
50.18,"13000502
/995411","13000502 /995411
Conventional formwork-C","19,539.00",,SQM,Formwork Column/shear wall-Stilt,696,13599144
50.19,"13000502
/995411","13000502 /995411
Conventional formwork-C","11,021.00",,SQM,Formwork Column/shear wall-1st floor,703,7747763
50.2,"13000502
/995411","13000502 /995411
Conventional formwork-C","4,575.45",,SQM,Formwork Column/shear wall-2nd floor,710,3248571.63
50.21,"13000502
/995411","13000502 /995411
Conventional formwork-C","2,708.93",,SQM,Formwork Column/shear wall-3rd floor,717,1942303.527
50.22,"13000502
/995411","13000502 /995411
Conventional formwork-C","2,295.47",,SQM,Formwork Column/shear wall-4th floor,724,1661921.004
50.23,"13000502
/995411","13000479 /995411
Conventional formwork-R","2,708.93",,SQM,Formwork Ramp Beam,731,1980228.561
50.24,"13000479
/995411","13000502 /995411
Conventional formwork-C","1,194.00",,SQM,Formwork Column/shear wall-5th floor,664,792816
50.25,"13000502
/995411","13000504 /995411
Conventional formwork-C","2,920.79",,SQM,Formwork Corewall-Fdn,738,2155543.02
50.26,"13000504
/995411","13000504 /995411
Conventional formwork-C","3,944.00",,SQM,Formwork Corewall-Stilt,696,2745024
50.27,"13000504
/995411","13000504 /995411
Conventional formwork-C",62,,SQM,Formwork Corewall-1st floor,703,43586
50.28,"13000504
/995411","13000504 /995411
Conventional formwork-C",65.43,,SQM,Formwork Corewall-2nd floor,710,46455.3
50.29,"13000504
/995411","13000479 /995411
Conventional formwork-R",65.43,,SQM,Formwork Ramp Slab,717,46913.31
50.3,"13000479
/995411","13000710 /995411
Formwork -RCC pedestals","1,869.00",,SQM,Formwork Pedestals,664,1241016
50.31,"13000710
/995411","13000479 /995411
Conventional formwork-R",30,,SQM,Formwork Trenches/Ramp drain,706,21180
50.32,"13000479
/995411","13000482 /995411
Conventional formwork-L","1,720.05",,SQM,Formwork Lintels,696,1197151.32
50.33,"13000482
/995411","13000498 /995411
Conventional formwork-P",525,,SQM,Formwork Parapet wall,763,400575
50.34,"13000498
/995411","13000480 /995411
Conventional formwork-P","9,364.00",,SQM,Formwork Plinth beam,778,7285192
50.35,"13000480
/995411","13000504 /995411
Conventional formwork-C",370.476,,SQM,,664,245996.064
60,"13000504
/995411","Conventional formwork-
Stair",63.25,,SQM,Formwork-Stair-Basement,850,53762.5
60.1,,"13000506 /995411
Conventional formwork-S",1,,AU,Basement,"5,58,99,797.28",55899797.28
60.2,"13000506
/995411","13000111 /995454 CRE-
Drop Panel Formwor",573.744,,SQM,Formwork-Flatplate slab-5th floor,696,399325.824
60.3,"13000111
/995454","13000111 /995454 CRE-
Drop Panel Formwor","3,929.02",,SQM,Formwork-Flatplate slab-6th floor,738,2899613.808
60.4,"13000111
/995454","13000508 /995411
Conventional formwork-S","4,182.76",,SQM,Formwork-Regular slab-Stilt floor,745,3116159.18
60.5,"13000508
/995411","13000508 /995411
Conventional formwork-S","6,937.58",,SQM,Formwork-Regular slab-1st floor,703,4877117.334
60.6,"13000508
/995411","13000508 /995411
Conventional formwork-S","8,534.43",,SQM,Formwork-Regular slab-2nd floor,710,6059448.14
60.7,"13000508
/995411","13000508 /995411
Conventional formwork-S",354.51,,SQM,Formwork-Regular slab-3rd floor,717,254183.67
60.8,"13000508
/995411","13000508 /995411
Conventional formwork-S",323.67,,SQM,Formwork-Regular slab-4th floor,724,234337.08
60.9,"13000508
/995411","13000508 /995411
Conventional formwork-S",0.001,,SQM,Formwork-Regular slab-6th floor,731,0.731
60.1,"13000508
/995411","13000508 /995411
Conventional formwork-S",730,,SQM,Formwork-Regular slab-6th floor,745,543850
60.11,"13000508
/995411","13000509 /995411
Conventional formwork-B",25,,SQM,Formwork-Beams-Stilt floor,850,21250
60.12,"13000509
/995411","13000506 /995411
Conventional formwork-S","3,905.18",,SQM,Formwork-stair-1st floor,703,2745339.431
60.13,"13000506
/995411","13000509 /995411
Conventional formwork-B",160.203,,SQM,Formwork-Beams-1st floor,710,113744.13
60.14,"13000509
/995411","13000509 /995411
Conventional formwork-B","4,059.73",,SQM,Formwork-Beams-2nd floor,710,2882409.01
60.15,"13000509
/995411","13000509 /995411
Conventional formwork-B","1,228.71",,SQM,Formwork-Beams-3rd floor,717,880987.221
60.16,"13000509
/995411","13000509 /995411
Conventional formwork-B",810.616,,SQM,Formwork-Beams-4th floor,724,586885.984
60.17,"13000509
/995411","13000509 /995411
Conventional formwork-B",810.616,,SQM,Formwork-Beams-5th floor,731,592560.296
60.18,"13000509
/995411","13000509 /995411
Conventional formwork-B","1,139.10",,SQM,Formwork-Beams-6th floor,738,840655.8
60.19,"13000509
/995411","13000115 /995454 CRE-
Beam FW with Addl",831.915,,SQM,Formwork-Transfer Beams-Ground floor,745,619776.675
60.2,"13000115
/995454","13000115 /995454 CRE-
Beam FW with Addl","1,454.01",,SQM,Formwork-Transfer Beams-1st floor,805,1170474.025
60.21,"13000115
/995454","13000115 /995454 CRE-
Beam FW with Addl","3,702.95",,SQM,Formwork-Transfer Beams-6th floor,812,3006794.588
60.22,"13000115
/995454","13000613 /995411 Exp.
joint boards - all","1,257.82",,SQM,50mm tk PVC board-CAPCELL HD100,840,1056567.96
60.23,"13000613
/995411","13000506 /995411
Conventional formwork-S","4,060.48",,SQM,Formwork-stair-2nd floor,"2,205.00",8953367.22
60.24,"13000506
/995411","13000506 /995411
Conventional formwork-S",40,,SQM,Formwork-Stair-3rd floor,717,28680
60.25,"13000506
/995411","13000111 /995454 CRE-
Drop Panel Formwor",40,,SQM,Formwork-Flatplate slab-stilt floor,724,28960
60.26,"13000111
/995454","13000111 /995454 CRE-
Drop Panel Formwor","4,362.75",,SQM,Formwork-Flatplate slab-1st floor,703,3067013.25
60.27,"13000111
/995454","13000111 /995454 CRE-
Drop Panel Formwor","3,959.86",,SQM,Formwork-Flatplate slab-2nd floor,710,2811497.05
60.28,"13000111
/995454","13000111 /995454 CRE-
Drop Panel Formwor","3,993.06",,SQM,Formwork-Flatplate slab-3rd floor,717,2863020.435
