Sr.No,SAP Item ,Short Desc,QUANTITY,QUANTITY,UNIT,LONG TEXT,RATE,Amount
30.18,"13000318
/995411","13000322 /995411 RMC-
Staircase at all fl",5,,CUM,RMC M30 Stair-Basement,"7,066.00",35330
30.19,"13000322
/995411","13000322 /995411 RMC-
Staircase at all fl",61.458,,CUM,RMC M30 Stair-Stilt,"7,109.00",436904.922
30.2,"13000322
/995411","13000322 /995411 RMC-
Staircase at all fl",81.765,,CUM,RMC M30 Stair-1st foor,"7,109.00",581267.385
30.21,"13000322
/995411","13000322 /995411 RMC-
Staircase at all fl",18.822,,CUM,RMC M30 Stair-2nd floor,"7,109.00",133805.598
30.22,"13000322
/995411","13000322 /995411 RMC-
Staircase at all fl",18.822,,CUM,RMC M30 Stair-3rd floor,"7,109.00",133805.598
30.23,"13000322
/995411","13000318 /995411 RMC-
Retaining wall",18.822,,CUM,RMC M30 Retaining wall,"7,109.00",133805.598
30.24,"13000318
/995411","13000322 /995411 RMC-
Staircase at all fl","1,083.60",,CUM,RMC M30 Stair-4th floor,"7,030.00",7617708
30.25,"13000322
/995411","13000322 /995411 RMC-
Staircase at all fl",18.822,,CUM,RMC M30 Stair-5th floor,"7,109.00",133805.598
30.26,"13000322
/995411","13000345 /995411 RMC-
Columns, M40 Grade",18.822,,CUM,RMC-M30 column drop-6thfloor,"7,109.00",133805.598
30.27,"13000345
/995411","13000019 /995454 CRE-
Drop Panel Conc M30",102,,CUM,RMC-M30 flat plate/slab-Stilt floor,"7,682.00",783564
30.28,"13000019
/995454","13000019 /995454 CRE-
Drop Panel Conc M30",638.012,,CUM,RMC-M30 flat plate/slab-1st floor,"7,109.00",4535627.308
30.29,"13000019
/995454","13000019 /995454 CRE-
Drop Panel Conc M30",759.073,,CUM,RMC-M30 flat plate/slab-2nd floor,"7,109.00",5396249.957
30.3,"13000019
/995454","13000019 /995454 CRE-
Drop Panel Conc M30",759.073,,CUM,RMC-M30 flat plate/slab-3rd floor,"7,109.00",5396249.957
30.31,"13000019
/995454","13000019 /995454 CRE-
Drop Panel Conc M30",638.012,,CUM,RMC-M30 flat plate/slab-4th floor,"7,109.00",4535627.308
30.32,"13000019
/995454","13000019 /995454 CRE-
Drop Panel Conc M30",704.414,,CUM,RMC-M30 flat plate/slab-5th floor,"7,109.00",5007679.126
